,Naam,name_in_all_elections,name_in_elected_people,Aanbevolen door,Aantal stemmen,Procentueel,District,Verkiezingdatum,Type,Omvang electoraat,Opkomst,Aantal stembriefjes,Aantal stemmen geldig,Aantal stemmen blanco,Aantal zetels,Kiesdrempel,totaal aantal stemmen,hoeveelste_in_verkiezing,gewonnen,marginal_winner,marginal_loser,margin,consequential_election,hoelang_tussen_1_en_2,hoelang_tussen_1_en_laatst,hoeveel_distr_deze_verk,hoeveelste_keer_prob,hoeveelste_keer_prob_alg,hoeveelste_keer_gewonnen,hoeveelste_keer_gewonnen_alg,hoeveelste_keer_gewonnen_tweedeproxy,hoevaak_gewonnen_alltime,hoevaak_gewonnen_verleden,hoevaak_gewonnen_toekomst,name_politician_data,b1-nummer,naam,deflated_wealth,verk_2_gewonnen,verk_3_gewonnen,verk_4_gewonnen,verk_5_gewonnen,verk_6_gewonnen,verk_7_gewonnen,verk_8_gewonnen,verk_9_gewonnen,verk_10_gewonnen
3078,J. Stoffel,J. Stoffel,J.  Stoffel,V,143.0,5.33%,Dokkum,1891-06-09,algemeen,3068,2693,2693,2685,8,1.0,1343,2680.0,3,0,0,0,-0.4552238805970149,1,1162 days 00:00:00,9502 days,1,1,1,,,0,1,0,1,J.  Stoffel,01305,J.  Stoffel,55460.0930555543,0.0,0.0,0.0,,,,,,
3079,mr. E. Schaafsma,mr. E. Schaafsma,E.  Schaafsma,Lib(VT),1027.0,42.40%,Dokkum,1894-04-10,algemeen,3030,2440,2440,2422,15,1.0,1211,2415.0,1,1,1,0,0.007867494824016562,0,1162 days 00:00:00,4084 days,1,1,1,1,1,0,2,0,2,E.  Schaafsma,01179,E.  Schaafsma,,0.0,0.0,0.0,,,,,,
3080,P. van Vliet,P. van Vliet,P. van Vliet,AR(VT),1008.0,41.62%,Dokkum,1894-04-10,algemeen,3030,2440,2440,2422,15,1.0,1211,2415.0,2,0,0,1,-0.007867494824016562,0,0 days 00:00:00,9502 days,1,9,7,,,0,4,0,4,P. van Vliet,01454,P. van Vliet,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
3081,mr. U.H. Huber,mr. U.H. Huber,U.H.  Huber,AR(TT),380.0,15.69%,Dokkum,1894-04-10,algemeen,3030,2440,2440,2422,15,1.0,1211,2415.0,3,0,0,0,-0.2679089026915114,0,-3955 days +00:00:00,3986 days,3,22,21,,,0,7,7,0,U.H.  Huber,00612,U.H.  Huber,130414.62979673278,,,,,,,,,
3082,mr. E. Schaafsma,mr. E. Schaafsma,E.  Schaafsma,Lib(VT),1329.0,53.46%,Dokkum,1894-04-24,herstemming,3030,2519,2519,2486,24,1.0,1243,2486.0,1,1,1,0,0.06918744971842317,1,1162 days 00:00:00,4084 days,1,2,1,2,1,1,2,0,1,E.  Schaafsma,01179,E.  Schaafsma,,0.0,0.0,0.0,,,,,,
3083,P. van Vliet,P. van Vliet,P. van Vliet,AR(VT),1157.0,46.54%,Dokkum,1894-04-24,herstemming,3030,2519,2519,2486,24,1.0,1243,2486.0,2,0,0,1,-0.06918744971842317,1,0 days 00:00:00,9502 days,1,10,7,,,0,4,0,4,P. van Vliet,01454,P. van Vliet,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
3084,H. Pollema,H. Pollema,H.  Pollema,AR,1969.0,48.65%,Dokkum,1897-06-15,algemeen,5279,-,4094,4047,47,1.0,2024,4047.0,1,1,1,0,0.07882382011366444,0,4378 days 00:00:00,5540 days,1,3,2,2,2,0,1,0,1,H.  Pollema,01048,H.  Pollema,,1.0,,,,,,,,
3085,mr. E. Schaafsma,mr. E. Schaafsma,E.  Schaafsma,Lib,1650.0,40.77%,Dokkum,1897-06-15,algemeen,5279,-,4094,4047,47,1.0,2024,4047.0,2,0,0,1,-0.07882382011366444,0,1162 days 00:00:00,4084 days,1,3,2,,,0,2,1,1,E.  Schaafsma,01179,E.  Schaafsma,,0.0,0.0,,,,,,,
3086,jhr.mr. O.Q. van Swinderen,,,CHK,225.0,5.56%,Dokkum,1897-06-15,algemeen,5279,-,4094,4047,47,1.0,2024,4047.0,3,0,0,0,-0.43093649617000246,0,0 days 00:00:00,3575 days,2,4,4,,,0,0,0,0,,,,4188.64676765002,,,,,,,,,
3087,J. Doornbosch,,,Lib + protectionist,203.0,5.02%,Dokkum,1897-06-15,algemeen,5279,-,4094,4047,47,1.0,2024,4047.0,4,0,0,0,-0.4363726216950828,0,0 days 00:00:00,0 days,2,2,2,,,0,0,0,0,,,,,,,,,,,,,
3088,mr. E. Schaafsma,mr. E. Schaafsma,E.  Schaafsma,Lib(CHK),2418.0,51.21%,Dokkum,1897-06-25,herstemming,5279,-,4745,4722,23,1.0,2361,4722.0,1,1,1,0,0.0241423125794155,1,1162 days 00:00:00,4084 days,1,4,2,3,1,1,2,1,0,E.  Schaafsma,01179,E.  Schaafsma,,0.0,0.0,,,,,,,
3089,H. Pollema,H. Pollema,H.  Pollema,AR(Ka),2304.0,48.79%,Dokkum,1897-06-25,herstemming,5279,-,4745,4722,23,1.0,2361,4722.0,2,0,0,1,-0.0241423125794155,1,4378 days 00:00:00,5540 days,1,4,2,,,0,1,0,1,H.  Pollema,01048,H.  Pollema,,1.0,,,,,,,,
3090,mr. R. van Veen,mr. R. van Veen,R. van Veen,VA(Ka/AR),2836.0,57.72%,Dokkum,1901-06-14,algemeen,5872,-,4963,4913,50,1.0,2457,4913.0,1,1,1,0,0.28821493995522085,1,1463 days 00:00:00,5845 days,1,1,1,1,1,1,4,0,3,R. van Veen,01392,R. van Veen,82067.72998443045,1.0,1.0,1.0,,,,,,
3091,mr. E. Schaafsma,mr. E. Schaafsma,E.  Schaafsma,Lib(VL),1420.0,28.90%,Dokkum,1901-06-14,algemeen,5872,-,4963,4913,50,1.0,2457,4913.0,2,0,0,1,-0.28821493995522085,1,1162 days 00:00:00,4084 days,1,5,3,,,0,2,2,0,E.  Schaafsma,01179,E.  Schaafsma,,0.0,,,,,,,,
3092,G.W. Melchers,G.W. Melchers,G.W.  Melchers,SDAP,657.0,13.37%,Dokkum,1901-06-14,algemeen,5872,-,4963,4913,50,1.0,2457,4913.0,3,0,0,0,-0.44351719926725014,1,0 days 00:00:00,13 days,2,2,2,,,0,1,0,1,G.W.  Melchers,00899,G.W.  Melchers,,,,,,,,,,
3093,mr. R. van Veen,mr. R. van Veen,R. van Veen,CHP(AR),3556.0,54.65%,Dokkum,1905-06-16,algemeen,7199,-,6548,6507,41,1.0,3254,6507.0,1,1,1,0,0.18349469801751958,1,1463 days 00:00:00,5845 days,1,2,2,2,2,1,4,1,2,R. van Veen,01392,R. van Veen,82067.72998443045,1.0,1.0,,,,,,,
3094,mr. E. Schaafsma,mr. E. Schaafsma,E.  Schaafsma,Lib,2362.0,36.30%,Dokkum,1905-06-16,algemeen,7199,-,6548,6507,41,1.0,3254,6507.0,2,0,0,1,-0.18349469801751958,1,1162 days 00:00:00,4084 days,1,6,4,,,0,2,2,0,E.  Schaafsma,01179,E.  Schaafsma,,,,,,,,,,
3095,A. van der Heide,,,SDAP,589.0,9.05%,Dokkum,1905-06-16,algemeen,7199,-,6548,6507,41,1.0,3254,6507.0,3,0,0,0,-0.45597049331489165,1,255 days 00:00:00,3178 days,4,5,5,,,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3096,mr. R. van Veen,mr. R. van Veen,R. van Veen,CHU(Ka/AR),3676.0,56.90%,Dokkum,1909-06-11,algemeen,7597,-,6523,6461,62,1.0,3231,6461.0,1,1,1,0,0.21838724655626063,1,1463 days 00:00:00,5845 days,1,3,3,3,3,1,4,2,1,R. van Veen,01392,R. van Veen,82067.72998443045,1.0,,,,,,,,
3097,K. de Vries Szn.,,,VD,2265.0,35.06%,Dokkum,1909-06-11,algemeen,7597,-,6523,6461,62,1.0,3231,6461.0,2,0,0,1,-0.21838724655626063,1,,0 days,1,1,1,,,0,0,0,0,,,,,,,,,,,,,
3098,A. van der Heide,,,SDAP,520.0,8.05%,Dokkum,1909-06-11,algemeen,7597,-,6523,6461,62,1.0,3231,6461.0,3,0,0,0,-0.48846927720167155,1,255 days 00:00:00,3178 days,3,8,8,,,0,0,0,0,,,,,0.0,0.0,0.0,0.0,,,,,
3099,mr. R. van Veen,mr. R. van Veen,R. van Veen,CHU(Ka/AR),4096.0,53.73%,Dokkum,1913-06-17,algemeen,8144,-,7676,7624,52,1.0,3812,7624.0,1,1,1,0,0.1520199370409234,1,1463 days 00:00:00,5845 days,1,4,4,4,4,1,4,3,0,R. van Veen,01392,R. van Veen,82067.72998443045,,,,,,,,,
3100,J. Sibinga Mulder,J. Sibinga Mulder,J.  Sibinga Mulder,Lib,2937.0,38.52%,Dokkum,1913-06-17,algemeen,8144,-,7676,7624,52,1.0,3812,7624.0,2,0,0,1,-0.1520199370409234,1,1352 days 00:00:00,1459 days,1,1,1,,,0,1,0,1,J.  Sibinga Mulder,01243,J.  Sibinga Mulder,,,,,,,,,,
3101,mr. P.J. Troelstra,mr. P.J. Troelstra,P.J.  Troelstra,SDAP,591.0,7.75%,Dokkum,1913-06-17,algemeen,8144,-,7676,7624,52,1.0,3812,7624.0,3,0,0,0,-0.45973242392444913,1,927 days 00:00:00,8466 days,4,39,30,,,1,9,6,2,P.J.  Troelstra,01376,P.J.  Troelstra,5676.088164660174,1.0,,,,,,,,
3102,mr. R. van Veen,mr. R. van Veen,R. van Veen,CHU,,enige kandidaat,Dokkum,1917-06-15,algemeen/enkelvoudig,8650,-,-,-,-,,-,,1,0,0,0,,0,1463 days 00:00:00,5845 days,1,5,5,,,0,4,4,0,R. van Veen,01392,R. van Veen,82067.72998443045,,,,,,,,,
3103,mr. J.R. Thorbecke,,,,259.0,45.44%,Dordrecht,1848-11-30,algemeen,707,574,574,570,2,1.0,285,554.0,1,1,1,0,0.09927797833935018,0,-1629 days +00:00:00,6992 days,11,11,11,3,3,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3104,mr. J.S. Lotsy,mr. J.S. Lotsy,J.S.  Lotsy,,204.0,35.79%,Dordrecht,1848-11-30,algemeen,707,574,574,570,2,1.0,285,554.0,2,0,0,1,-0.09927797833935018,0,635 days 00:00:00,4940 days,3,3,3,,,0,2,0,2,J.S.  Lotsy,00844,J.S.  Lotsy,,1.0,0.0,,,,,,,
3105,mr. P. BlussÃ© van Oud-Alblas,mr. P. BlussÃ© van Oud-Alblas,P.  Blussé van Oud-Alblas,,54.0,9.47%,Dordrecht,1848-11-30,algemeen,707,574,574,570,2,1.0,285,554.0,3,0,0,0,-0.3700361010830325,0,-2191 days +00:00:00,13711 days,1,1,1,,,0,13,0,13,P.  Blussé van Oud-Alblas,00138,P.  Blussé van Oud-Alblas,243496.3489140897,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
3106,mr. J. Crans,,,,20.0,3.51%,Dordrecht,1848-11-30,algemeen,707,574,574,570,2,1.0,285,554.0,4,0,0,0,-0.4314079422382672,0,,0 days,1,1,1,,,0,0,0,0,,,,,,,,,,,,,
3107,jhr.mr. J. de Bosch Kemper,jhr.mr. J. de Bosch Kemper,J. de Bosch Kemper,,9.0,1.58%,Dordrecht,1848-11-30,algemeen,707,574,574,570,2,1.0,285,554.0,5,0,0,0,-0.45126353790613716,0,-6543 days +00:00:00,7005 days,1,1,1,,,0,2,0,2,J. de Bosch Kemper,00178,J. de Bosch Kemper,,0.0,1.0,1.0,,,,,,
3108,mr. J.C. Faber van Riemsdijk,,,,8.0,1.40%,Dordrecht,1848-11-30,algemeen,707,574,574,570,2,1.0,285,554.0,6,0,0,0,-0.45306859205776173,0,,0 days,1,1,1,,,0,0,0,0,,,,,,,,,,,,,
3109,mr. J.S. Lotsy,mr. J.S. Lotsy,J.S.  Lotsy,,1158.0,84.25%,Dordrecht,1850-08-27,algemeen,2109,1404,1405,2749,41,2.0,687,2609.0,1,1,0,0,0.28976619394403985,1,635 days 00:00:00,4940 days,1,4,4,1,1,1,2,1,0,J.S.  Lotsy,00844,J.S.  Lotsy,,0.0,,,,,,,,
3110,mr. P. BlussÃ© van Oud-Alblas,mr. P. BlussÃ© van Oud-Alblas,P.  Blussé van Oud-Alblas,,484.0,35.21%,Dordrecht,1850-08-27,algemeen,2109,1404,1405,2749,41,2.0,687,2609.0,2,1,1,0,0.03142966653890379,1,-2191 days +00:00:00,13711 days,1,2,2,1,1,0,13,0,13,P.  Blussé van Oud-Alblas,00138,P.  Blussé van Oud-Alblas,243496.3489140897,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3111,A. Vogelsang,,,,402.0,29.25%,Dordrecht,1850-08-27,algemeen,2109,1404,1405,2749,41,2.0,687,2609.0,3,0,0,1,-0.03142966653890379,1,651 days 00:00:00,4092 days,1,3,2,,,0,0,0,0,,,,7007.42293939852,0.0,0.0,0.0,,,,,,
3112,mr. W. Wijnaendts,mr. W. Wijnaendts,W.  Wijnaendts,,293.0,21.32%,Dordrecht,1850-08-27,algemeen,2109,1404,1405,2749,41,2.0,687,2609.0,4,0,0,0,-0.07320812571866615,1,994 days 00:00:00,1629 days,1,3,2,,,0,1,1,0,W.  Wijnaendts,01582,W.  Wijnaendts,130112.14662912596,0.0,,,,,,,,
3113,dr. W.R. baron van HoÃ«vell,,,,137.0,9.97%,Dordrecht,1850-08-27,algemeen,2109,1404,1405,2749,41,2.0,687,2609.0,5,0,0,0,-0.133001149865849,1,651 days 00:00:00,3577 days,6,6,6,,,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,,,,
3114,mr. G. Groen van Prinsterer,mr. G. Groen van Prinsterer,G.  Groen van Prinsterer,,85.0,6.18%,Dordrecht,1850-08-27,algemeen,2109,1404,1405,2749,41,2.0,687,2609.0,6,0,0,0,-0.15293215791490994,1,-651 days +00:00:00,9168 days,15,22,21,,,0,9,1,8,G.  Groen van Prinsterer,00485,G.  Groen van Prinsterer,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3115,P.J. de Raadt van Hendrik-Ido-Ambacht,,,,50.0,3.64%,Dordrecht,1850-08-27,algemeen,2109,1404,1405,2749,41,2.0,687,2609.0,7,0,0,0,-0.16634725948639326,1,-635 days +00:00:00,635 days,1,2,2,,,0,0,0,0,,,,203685.382395224,,,,,,,,,
3116,mr. P. BlussÃ© van Oud-Alblas,mr. P. BlussÃ© van Oud-Alblas,P.  Blussé van Oud-Alblas,,845.0,61.19%,Dordrecht,1850-09-11,herstemming,2109,1402,1402,1381,13,1.0,691,1381.0,1,1,1,0,0.22375090514120202,1,-2191 days +00:00:00,13711 days,1,3,2,2,1,1,13,0,12,P.  Blussé van Oud-Alblas,00138,P.  Blussé van Oud-Alblas,243496.3489140897,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3117,A. Vogelsang,,,,536.0,38.81%,Dordrecht,1850-09-11,herstemming,2109,1402,1402,1381,13,1.0,691,1381.0,2,0,0,1,-0.22375090514120202,1,651 days 00:00:00,4092 days,1,4,2,,,0,0,0,0,,,,7007.42293939852,0.0,0.0,0.0,,,,,,
3118,mr. P. BlussÃ© van Oud-Alblas,mr. P. BlussÃ© van Oud-Alblas,P.  Blussé van Oud-Alblas,,616.0,54.90%,Dordrecht,1852-06-08,periodiek,2123,1141,1140,1122,20,1.0,561,2011.0,1,1,1,0,0.09298856290402785,1,-2191 days +00:00:00,13711 days,1,4,3,3,2,1,13,1,11,P.  Blussé van Oud-Alblas,00138,P.  Blussé van Oud-Alblas,243496.3489140897,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
3119,mr. G.A. de Raadt,mr. G.A. de Raadt,G.A. de Raadt,,429.0,41.85%,Dordrecht,1852-06-08,tussentijds,2123,1143,1144,1025,2,1.0,513,2011.0,2,0,0,1,-0.09298856290402785,1,0 days 00:00:00,6811 days,2,2,2,,,0,5,0,5,G.A. de Raadt,01074,G.A. de Raadt,497222.7002894377,0.0,0.0,1.0,1.0,0.0,,,,
3120,A. Vogelsang,,,,287.0,28.00%,Dordrecht,1852-06-08,tussentijds,2123,1143,1144,1025,2,1.0,513,2011.0,3,0,0,0,-0.1636001989060169,1,651 days 00:00:00,4092 days,2,6,4,,,0,0,0,0,,,,7007.42293939852,0.0,0.0,,,,,,,
3121,mr. J.D. van der Poel,mr. J.D. van der Poel,J.D. van der Poel,,213.0,20.78%,Dordrecht,1852-06-08,tussentijds,2123,1143,1144,1025,2,1.0,513,2011.0,4,0,0,0,-0.20039781203381402,1,0 days 00:00:00,4472 days,2,3,3,,,0,4,0,4,J.D. van der Poel,01041,J.D. van der Poel,,1.0,0.0,0.0,1.0,,,,,
3122,A. Vogelsang,,,,184.0,16.40%,Dordrecht,1852-06-08,periodiek,2123,1141,1140,1122,20,1.0,561,2011.0,5,0,0,0,-0.21481849825957236,1,651 days 00:00:00,4092 days,2,6,4,,,0,0,0,0,,,,7007.42293939852,0.0,0.0,,,,,,,
3123,mr. J.D. van der Poel,mr. J.D. van der Poel,J.D. van der Poel,,147.0,13.10%,Dordrecht,1852-06-08,periodiek,2123,1141,1140,1122,20,1.0,561,2011.0,6,0,0,0,-0.23321730482347092,1,0 days 00:00:00,4472 days,2,3,3,,,0,4,0,4,J.D. van der Poel,01041,J.D. van der Poel,,1.0,0.0,0.0,1.0,,,,,
3124,mr. G.A. de Raadt,mr. G.A. de Raadt,G.A. de Raadt,,67.0,5.97%,Dordrecht,1852-06-08,periodiek,2123,1141,1140,1122,20,1.0,561,2011.0,7,0,0,0,-0.2729985082048732,1,0 days 00:00:00,6811 days,2,2,2,,,0,5,0,5,G.A. de Raadt,01074,G.A. de Raadt,497222.7002894377,0.0,0.0,1.0,1.0,0.0,,,,
3125,D. Molenaar,,,,35.0,3.41%,Dordrecht,1852-06-08,tussentijds,2123,1143,1144,1025,2,1.0,513,2011.0,8,0,0,0,-0.2889109895574341,1,343 days 00:00:00,1629 days,1,2,2,,,0,0,0,0,,,,,0.0,,,,,,,,
3126,mr. G. Groen van Prinsterer,mr. G. Groen van Prinsterer,G.  Groen van Prinsterer,,33.0,2.94%,Dordrecht,1852-06-08,periodiek,2123,1141,1140,1122,20,1.0,561,2011.0,9,0,0,0,-0.28990551964196914,1,-651 days +00:00:00,9168 days,16,40,38,,,0,9,2,7,G.  Groen van Prinsterer,00485,G.  Groen van Prinsterer,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
3127,mr. G.A. de Raadt,mr. G.A. de Raadt,G.A. de Raadt,,596.0,56.07%,Dordrecht,1852-06-22,herstemming,2123,1091,1091,1063,25,1.0,532,1063.0,1,1,1,0,0.1213546566321731,1,0 days 00:00:00,6811 days,1,3,2,1,0,1,5,0,4,G.A. de Raadt,01074,G.A. de Raadt,497222.7002894377,0.0,0.0,1.0,1.0,0.0,,,,
3128,A. Vogelsang,,,,467.0,43.93%,Dordrecht,1852-06-22,herstemming,2123,1091,1091,1063,25,1.0,532,1063.0,2,0,0,1,-0.1213546566321731,1,651 days 00:00:00,4092 days,1,7,4,,,0,0,0,0,,,,7007.42293939852,0.0,0.0,,,,,,,
3129,mr. P.A. Sander,mr. P.A. Sander,P.A.  Sander,,779.0,53.05%,Dordrecht,1853-05-17,algemeen,2169,1493,1493,2937,31,2.0,734,2814.0,1,1,0,0,0.12864250177683015,1,392 days 00:00:00,2429 days,1,1,1,1,1,1,4,0,3,P.A.  Sander,01169,P.A.  Sander,,0.0,1.0,,,,,,,
3130,mr. J.D. van der Poel,mr. J.D. van der Poel,J.D. van der Poel,,744.0,50.66%,Dordrecht,1853-05-17,algemeen,2169,1493,1493,2937,31,2.0,734,2814.0,2,1,1,0,0.1162046908315565,1,0 days 00:00:00,4472 days,2,5,5,1,1,1,4,0,3,J.D. van der Poel,01041,J.D. van der Poel,,0.0,0.0,,,,,,,
3131,mr. G.A. de Raadt,mr. G.A. de Raadt,G.A. de Raadt,,417.0,28.40%,Dordrecht,1853-05-17,algemeen,2169,1493,1493,2937,31,2.0,734,2814.0,3,0,0,1,-0.1162046908315565,1,0 days 00:00:00,6811 days,1,4,3,,,0,5,1,4,G.A. de Raadt,01074,G.A. de Raadt,497222.7002894377,0.0,1.0,1.0,0.0,,,,,
3132,mr. P. BlussÃ© van Oud-Alblas,mr. P. BlussÃ© van Oud-Alblas,P.  Blussé van Oud-Alblas,,330.0,22.47%,Dordrecht,1853-05-17,algemeen,2169,1493,1493,2937,31,2.0,734,2814.0,4,0,0,0,-0.14712153518123666,1,-2191 days +00:00:00,13711 days,1,5,4,,,0,13,2,11,P.  Blussé van Oud-Alblas,00138,P.  Blussé van Oud-Alblas,243496.3489140897,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
3133,jhr.mr. P.J. Elout van Soeterwoude,jhr.mr. P.J. Elout van Soeterwoude,P.J.  Elout van Soeterwoude,,185.0,12.60%,Dordrecht,1853-05-17,algemeen,2169,1493,1493,2937,31,2.0,734,2814.0,5,0,0,0,-0.19864960909737028,1,0 days 00:00:00,9569 days,3,3,3,,,0,4,0,4,P.J.  Elout van Soeterwoude,00377,P.J.  Elout van Soeterwoude,198691.95589610704,1.0,0.0,1.0,,,,,,
3134,mr. M. Bichon van Ysselmonde,mr. M. Bichon van Ysselmonde,M.  Bichon van Ysselmonde,,120.0,8.17%,Dordrecht,1853-05-17,algemeen,2169,1493,1493,2937,31,2.0,734,2814.0,6,0,0,0,-0.22174840085287847,1,-6601 days +00:00:00,10255 days,1,1,1,,,0,5,0,5,M.  Bichon van IJsselmonde,00112,M.  Bichon van IJsselmonde,415283.90476643376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3135,A. Vogelsang,,,,93.0,6.33%,Dordrecht,1853-05-17,algemeen,2169,1493,1493,2937,31,2.0,734,2814.0,7,0,0,0,-0.23134328358208955,1,651 days 00:00:00,4092 days,1,8,5,,,0,0,0,0,,,,7007.42293939852,0.0,,,,,,,,
3136,mr. J.J.L. van der Brugghen,mr. J.J.L. van der Brugghen,J.J.L. van der Brugghen,,68.0,4.63%,Dordrecht,1853-05-17,algemeen,2169,1493,1493,2937,31,2.0,734,2814.0,8,0,0,0,-0.24022743425728502,1,-2730 days +00:00:00,4921 days,2,4,4,,,1,1,0,0,J.J.L. van der Brugghen,00223,J.J.L. van der Brugghen,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3137,mr. G. Groen van Prinsterer,mr. G. Groen van Prinsterer,G.  Groen van Prinsterer,,40.0,2.72%,Dordrecht,1853-05-17,algemeen,2169,1493,1493,2937,31,2.0,734,2814.0,9,0,0,0,-0.2501776830135039,1,-651 days +00:00:00,9168 days,5,47,43,,,2,9,3,4,G.  Groen van Prinsterer,00485,G.  Groen van Prinsterer,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3138,D. Molenaar,,,,38.0,2.59%,Dordrecht,1853-05-17,algemeen,2169,1493,1493,2937,31,2.0,734,2814.0,10,0,0,0,-0.2508884150675195,1,343 days 00:00:00,1629 days,1,3,3,,,0,0,0,0,,,,,,,,,,,,,
3139,mr. J.D. van der Poel,mr. J.D. van der Poel,J.D. van der Poel,,814.0,57.53%,Dordrecht,1853-07-02,tussentijds,2169,1427,1427,1415,8,1.0,708,1363.0,1,1,1,0,0.359501100513573,1,0 days 00:00:00,4472 days,1,6,6,2,2,1,4,1,2,J.D. van der Poel,01041,J.D. van der Poel,,0.0,0.0,,,,,,,
3140,mr. P. BlussÃ© van Oud-Alblas,mr. P. BlussÃ© van Oud-Alblas,P.  Blussé van Oud-Alblas,,324.0,22.90%,Dordrecht,1853-07-02,tussentijds,2169,1427,1427,1415,8,1.0,708,1363.0,2,0,0,1,-0.359501100513573,1,-2191 days +00:00:00,13711 days,1,6,5,,,0,13,2,11,P.  Blussé van Oud-Alblas,00138,P.  Blussé van Oud-Alblas,243496.3489140897,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
3141,mr. G.A. de Raadt,mr. G.A. de Raadt,G.A. de Raadt,,195.0,13.78%,Dordrecht,1853-07-02,tussentijds,2169,1427,1427,1415,8,1.0,708,1363.0,3,0,0,0,-0.4541452677916361,1,0 days 00:00:00,6811 days,1,5,4,,,0,5,1,4,G.A. de Raadt,01074,G.A. de Raadt,497222.7002894377,0.0,1.0,1.0,0.0,,,,,
3142,mr. M. Bichon van Ysselmonde,mr. M. Bichon van Ysselmonde,M.  Bichon van Ysselmonde,,30.0,2.12%,Dordrecht,1853-07-02,tussentijds,2169,1427,1427,1415,8,1.0,708,1363.0,4,0,0,0,-0.5752017608217168,1,-6601 days +00:00:00,10255 days,1,2,2,,,0,5,0,5,M.  Bichon van IJsselmonde,00112,M.  Bichon van IJsselmonde,415283.90476643376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3143,mr. P.A. Sander,mr. P.A. Sander,P.A.  Sander,,558.0,48.44%,Dordrecht,1854-06-13,periodiek,2169,1170,1170,1152,16,1.0,576,1086.0,1,1,1,0,0.027624309392265192,0,392 days 00:00:00,2429 days,1,2,2,2,2,0,4,1,3,P.A.  Sander,01169,P.A.  Sander,,1.0,,,,,,,,
3144,mr. P. BlussÃ© van Oud-Alblas,mr. P. BlussÃ© van Oud-Alblas,P.  Blussé van Oud-Alblas,,528.0,45.83%,Dordrecht,1854-06-13,periodiek,2169,1170,1170,1152,16,1.0,576,1086.0,2,0,0,1,-0.027624309392265192,0,-2191 days +00:00:00,13711 days,2,8,7,,,0,13,2,11,P.  Blussé van Oud-Alblas,00138,P.  Blussé van Oud-Alblas,243496.3489140897,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3145,mr. P.A. Sander,mr. P.A. Sander,P.A.  Sander,,948.0,62.74%,Dordrecht,1854-06-27,herstemming,2169,1519,1521,1511,4,1.0,756,1511.0,1,1,1,0,0.25479814692256786,1,392 days 00:00:00,2429 days,1,3,2,3,2,1,4,1,2,P.A.  Sander,01169,P.A.  Sander,,1.0,,,,,,,,
3146,mr. P. BlussÃ© van Oud-Alblas,mr. P. BlussÃ© van Oud-Alblas,P.  Blussé van Oud-Alblas,,563.0,37.26%,Dordrecht,1854-06-27,herstemming,2169,1519,1521,1511,4,1.0,756,1511.0,2,0,0,1,-0.25479814692256786,1,-2191 days +00:00:00,13711 days,1,9,7,,,0,13,2,11,P.  Blussé van Oud-Alblas,00138,P.  Blussé van Oud-Alblas,243496.3489140897,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3147,mr. J.D. van der Poel,mr. J.D. van der Poel,J.D. van der Poel,,375.0,34.75%,Dordrecht,1856-06-10,periodiek,2227,1097,1098,1079,10,1.0,540,1021.0,1,1,1,0,0.04505386875612145,0,0 days 00:00:00,4472 days,1,7,7,3,3,0,4,2,2,J.D. van der Poel,01041,J.D. van der Poel,,0.0,,,,,,,,
3148,mr. P. BlussÃ© van Oud-Alblas,mr. P. BlussÃ© van Oud-Alblas,P.  Blussé van Oud-Alblas,,329.0,30.49%,Dordrecht,1856-06-10,periodiek,2227,1097,1098,1079,10,1.0,540,1021.0,2,0,0,1,-0.04505386875612145,0,-2191 days +00:00:00,13711 days,1,10,8,,,0,13,2,11,P.  Blussé van Oud-Alblas,00138,P.  Blussé van Oud-Alblas,243496.3489140897,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3149,A. Vogelsang,,,,164.0,15.20%,Dordrecht,1856-06-10,periodiek,2227,1097,1098,1079,10,1.0,540,1021.0,3,0,0,0,-0.20666013712047013,0,651 days 00:00:00,4092 days,1,9,6,,,0,0,0,0,,,,7007.42293939852,,,,,,,,,
