,Naam,Aanbevolen door,Aantal stemmen,Procentueel,District,Verkiezingdatum,Type,Omvang electoraat,Opkomst,Aantal stembriefjes,Aantal stemmen geldig,Aantal stemmen blanco,Aantal zetels,Kiesdrempel
5139,J.H. Donner,AR,1942,57.63%,Katwijk,23/06/1891,herstemming,4138,3408,3408,3370,30,1,1685
5140,A. op de Laak,Ka,1428,42.37%,Katwijk,23/06/1891,herstemming,4138,3408,3408,3370,30,1,1685
5141,mr. O.J.H. graaf van Limburg Stirum,NC(TT),1857,58.43%,Katwijk,10/04/1894,algemeen,4060,3192,3192,3178,6,1,1589
5142,J.H. Donner,AR(VT),1311,41.25%,Katwijk,10/04/1894,algemeen,4060,3192,3192,3178,6,1,1589
5143,mr. F.J.M.A. Reekers,Ka(TT),1518,44.81%,Katwijk,11/05/1894,tussentijds,4160,3394,3394,3388,4,1,1694
5144,J.H. Donner,AR(VT),1160,34.24%,Katwijk,11/05/1894,tussentijds,4160,3394,3394,3388,4,1,1694
5145,mr. O.J.E. baron van Wassenaer van Catwijck,AR(TT),448,13.22%,Katwijk,11/05/1894,tussentijds,4160,3394,3394,3388,4,1,1694
5146,mr. A.D. van Assendelft de Coningh,Lib(VT),251,7.41%,Katwijk,11/05/1894,tussentijds,4160,3394,3394,3388,4,1,1694
5147,J.H. Donner,AR(VT),1859,52.32%,Katwijk,25/05/1894,herstemming,4160,3593,3593,3553,33,1,1777
5148,mr. F.J.M.A. Reekers,Ka(TT),1694,47.68%,Katwijk,25/05/1894,herstemming,4160,3593,3593,3553,33,1,1777
5149,jhr.mr. K.A. Godin de Beaufort,AR(Ka),1328,51.59%,Gouda,06/03/1888,algemeen,2915,2579,2579,2574,2,1,1287
5150,mr. J.G. Patijn,Lib,1240,48.17%,Gouda,06/03/1888,algemeen,2915,2579,2579,2574,2,1,1287
5151,mr. O.J.E. baron van Wassenaer van Catwijck,AR(Ka),1447,56.77%,Gouda,15/05/1888,tussentijds,2915,2571,2573,2549,12,1,1275
5152,mr. J. Fortuijn Droogleever,Lib,1095,42.96%,Gouda,15/05/1888,tussentijds,2915,2571,2573,2549,12,1,1275
5153,M. Boogaerdt,Lib,1246,47.04%,Gouda,09/06/1891,algemeen,2985,2657,2657,2649,7,1,1325
5154,mr. O.J.E. baron van Wassenaer van Catwijck,AR,987,37.26%,Gouda,09/06/1891,algemeen,2985,2657,2657,2649,7,1,1325
5155,mr. B.M. Bahlmann,Ka,409,15.44%,Gouda,09/06/1891,algemeen,2985,2657,2657,2649,7,1,1325
5156,M. Boogaerdt,Lib,1382,50.53%,Gouda,23/06/1891,herstemming,2985,2765,2764,2735,25,1,1368
5157,mr. O.J.E. baron van Wassenaer van Catwijck,AR,1353,49.47%,Gouda,23/06/1891,herstemming,2985,2765,2764,2735,25,1,1368
5158,J.P. Havelaar,,1320,53.72%,Gouda,24/11/1891,tussentijds,2985,2480,2481,2457,20,1,1229
5159,P. van der Breggen,,1070,43.55%,Gouda,24/11/1891,tussentijds,2985,2480,2481,2457,20,1,1229
5160,J.N. Bastert,,50,2.04%,Gouda,24/11/1891,tussentijds,2985,2480,2481,2457,20,1,1229
5161,J.N. Bastert,,815,36.89%,Gouda,30/05/1893,tussentijds,2992,2227,2227,2209,17,1,1105
5162,T.G.G. Valette,,712,32.23%,Gouda,30/05/1893,tussentijds,2992,2227,2227,2209,17,1,1105
5163,A. Brummelkamp jr.,,675,30.56%,Gouda,30/05/1893,tussentijds,2992,2227,2227,2209,17,1,1105
5164,T.G.G. Valette,,1132,53.12%,Gouda,13/06/1893,herstemming,2992,2172,2172,2131,36,1,1066
5165,J.N. Bastert,,999,46.88%,Gouda,13/06/1893,herstemming,2992,2172,2172,2131,36,1,1066
5166,mr. C.J.E. graaf van Bylandt,Lib(TT),972,44.20%,Gouda,10/04/1894,algemeen,2992,2223,2223,2199,17,1,1100
5167,T.G.G. Valette,Lib(VT),776,35.29%,Gouda,10/04/1894,algemeen,2992,2223,2223,2199,17,1,1100
5168,dr. A. Kuyper,AR(VT),449,20.42%,Gouda,10/04/1894,algemeen,2992,2223,2223,2199,17,1,1100
5169,mr. C.J.E. graaf van Bylandt,Lib(TT),1236,50.47%,Gouda,24/04/1894,herstemming,2992,2472,2472,2449,18,1,1225
5170,T.G.G. Valette,Lib(VT),1213,49.53%,Gouda,24/04/1894,herstemming,2992,2472,2472,2449,18,1,1225
5171,S. van Velzen jr.,AR,1169,33.13%,Bodegraven,06/03/1888,algemeen,3896,3539,3539,3528,6,1,1764
5172,mr. J.G. Patijn,Lib,1100,31.18%,Bodegraven,06/03/1888,algemeen,3896,3539,3539,3528,6,1,1764
5173,A.J.T. Hofman,Ka,874,24.77%,Bodegraven,06/03/1888,algemeen,3896,3539,3539,3528,6,1,1764
5174,mr. O.J.H. graaf van Limburg Stirum,NK,373,10.57%,Bodegraven,06/03/1888,algemeen,3896,3539,3539,3528,6,1,1764
5175,S. van Velzen jr.,AR(Ka),2017,58.11%,Bodegraven,20/03/1888,herstemming,3896,3492,3493,3471,20,1,1736
5176,mr. J.G. Patijn,Lib,1454,41.89%,Bodegraven,20/03/1888,herstemming,3896,3492,3493,3471,20,1,1736
5177,J.N. Bastert,Lib,1475,43.36%,Bodegraven,09/06/1891,algemeen,3972,3407,3408,3402,6,1,1701
5178,S. van Velzen jr.,AR,1154,33.92%,Bodegraven,09/06/1891,algemeen,3972,3407,3408,3402,6,1,1701
5179,dr. H.J.A.M. Schaepman,Ka,708,20.81%,Bodegraven,09/06/1891,algemeen,3972,3407,3408,3402,6,1,1701
5180,J.J. Duynstee,Ka,60,1.76%,Bodegraven,09/06/1891,algemeen,3972,3407,3408,3402,6,1,1701
5181,S. van Velzen jr.,AR,1790,50.13%,Bodegraven,23/06/1891,herstemming,3972,3587,3588,3571,15,1,1786
5182,J.N. Bastert,Lib,1781,49.87%,Bodegraven,23/06/1891,herstemming,3972,3587,3588,3571,15,1,1786
5183,C.M.E. van LÃ¶ben Sels,AR(VT),775,29.65%,Bodegraven,10/04/1894,algemeen,3956,2652,2652,2614,34,1,1307
5184,A. Knijff,Lib(VT),599,22.92%,Bodegraven,10/04/1894,algemeen,3956,2652,2652,2614,34,1,1307
5185,jhr.mr. G.J.T. Beelaerts van Blokland,AR(TT),594,22.72%,Bodegraven,10/04/1894,algemeen,3956,2652,2652,2614,34,1,1307
5186,J.J. Duynstee,Ka(TT),591,22.61%,Bodegraven,10/04/1894,algemeen,3956,2652,2652,2614,34,1,1307
5187,A. Knijff,Lib(VT),1219,53.91%,Bodegraven,24/04/1894,herstemming,3956,2403,2403,2261,129,1,1131
5188,C.M.E. van LÃ¶ben Sels,AR(VT),1042,46.09%,Bodegraven,24/04/1894,herstemming,3956,2403,2403,2261,129,1,1131
5189,J.C. Fabius,AR(Ka),1403,52.61%,Delft,06/03/1888,algemeen,3006,2692,2692,2667,22,1,1334
5190,mr. J.G. Gleichman,Lib,1247,46.76%,Delft,06/03/1888,algemeen,3006,2692,2692,2667,22,1,1334
5191,mr. H.A. van de Velde,,1393,52.15%,Delft,22/04/1890,tussentijds,3142,2691,2691,2671,16,1,1336
5192,jhr.mr. A.P.C. van Karnebeek,,1274,47.70%,Delft,22/04/1890,tussentijds,3142,2691,2691,2671,16,1,1336
5193,mr. H.A. van de Velde,AR(Ka),1310,48.29%,Delft,09/06/1891,algemeen,3205,2744,2744,2713,29,1,1357
5194,mr. J.P.R. Tak van Poortvliet,Lib,1238,45.63%,Delft,09/06/1891,algemeen,3205,2744,2744,2713,29,1,1357
5195,mr. B.M. Bahlmann,Ka,129,4.75%,Delft,09/06/1891,algemeen,3205,2744,2744,2713,29,1,1357
5196,mr. H.A. van de Velde,AR,1459,50.52%,Delft,23/06/1891,herstemming,3205,2921,2921,2888,33,1,1444
5197,mr. J.P.R. Tak van Poortvliet,Lib,1429,49.48%,Delft,23/06/1891,herstemming,3205,2921,2921,2888,33,1,1444
5198,mr. W.H. de Beaufort,Lib(TT),929,44.13%,Delft,10/04/1894,algemeen,3269,2155,2155,2105,38,1,1053
5199,mr. H.A. van de Velde,AR(VT),682,32.40%,Delft,10/04/1894,algemeen,3269,2155,2155,2105,38,1,1053
5200,A.N. de Lint,Lib(VT),488,23.18%,Delft,10/04/1894,algemeen,3269,2155,2155,2105,38,1,1053
5201,mr. W.H. de Beaufort,Lib(TT),1523,66.05%,Delft,24/04/1894,herstemming,3269,2355,2355,2306,42,1,1153
5202,mr. H.A. van de Velde,AR(VT),783,33.95%,Delft,24/04/1894,herstemming,3269,2355,2355,2306,42,1,1153
5203,jhr.mr. G.J.T. Beelaerts van Blokland,AR(TT),1120,56.65%,Delft,18/05/1894,tussentijds,3265,2017,2017,1977,36,1,989
5204,mr. W.M.H. Boers,Lib(VT),657,33.23%,Delft,18/05/1894,tussentijds,3265,2017,2017,1977,36,1,989
5205,mr. H.A. van de Velde,AR(VT),195,9.86%,Delft,18/05/1894,tussentijds,3265,2017,2017,1977,36,1,989
5206,mr. N.G. Pierson,,632,57.04%,Delft,09/04/1897,tussentijds,3275,1157,1157,1108,27,1,554
5207,mr. O.J.E. baron van Wassenaer van Catwijck,,408,36.82%,Delft,09/04/1897,tussentijds,3275,1157,1157,1108,27,1,554
5208,W. Bossard,,68,6.14%,Delft,09/04/1897,tussentijds,3275,1157,1157,1108,27,1,554
5209,mr. A.H.M. van Berckel,Ka,1319,38.54%,Loosduinen,06/03/1888,algemeen,3747,3437,3437,3422,13,1,1711
5210,jhr.mr. W.T.C. van Doorn,Lib,1094,31.97%,Loosduinen,06/03/1888,algemeen,3747,3437,3437,3422,13,1,1711
5211,J.C. Fabius,AR,979,28.61%,Loosduinen,06/03/1888,algemeen,3747,3437,3437,3422,13,1,1711
5212,mr. A.H.M. van Berckel,Ka(AR),2001,59.57%,Loosduinen,20/03/1888,herstemming,3747,3395,3395,3359,31,1,1680
5213,jhr.mr. W.T.C. van Doorn,Lib,1358,40.43%,Loosduinen,20/03/1888,herstemming,3747,3395,3395,3359,31,1,1680
5214,mr. A.H.M. van Berckel,Ka,1226,38.51%,Loosduinen,09/06/1891,algemeen,3943,3212,3212,3184,19,1,1592
5215,mr. H.A. van de Velde,AR,1006,31.60%,Loosduinen,09/06/1891,algemeen,3943,3212,3212,3184,19,1,1592
5216,mr. H.P. de Kanter,Lib,921,28.93%,Loosduinen,09/06/1891,algemeen,3943,3212,3212,3184,19,1,1592
5217,mr. A.H.M. van Berckel,Ka,1355,50.07%,Loosduinen,23/06/1891,herstemming,3943,2767,2767,2706,57,1,1353
5218,mr. H.A. van de Velde,AR,1351,49.93%,Loosduinen,23/06/1891,herstemming,3943,2767,2767,2706,57,1,1353
5219,mr. A.H.M. van Berckel,Ka(TT),1298,46.56%,Loosduinen,10/04/1894,algemeen,4035,2849,2849,2788,55,1,1394
5220,mr. H.A. van de Velde,AR(VT),945,33.90%,Loosduinen,10/04/1894,algemeen,4035,2849,2849,2788,55,1,1394
5221,J.M. Pijnacker Hordijk,Lib(VT),527,18.90%,Loosduinen,10/04/1894,algemeen,4035,2849,2849,2788,55,1,1394
5222,mr. A.H.M. van Berckel,Ka(TT),1755,54.33%,Loosduinen,24/04/1894,herstemming,4035,3292,3292,3230,56,1,1615
5223,mr. H.A. van de Velde,AR(VT),1475,45.67%,Loosduinen,24/04/1894,herstemming,4035,3292,3292,3230,56,1,1615
5224,mr. J.G. Patijn,Lib,1099,45.19%,Schiedam,06/03/1888,algemeen,2671,2446,2446,2432,11,1,1216
5225,L.W. Jansen,Ka,699,28.74%,Schiedam,06/03/1888,algemeen,2671,2446,2446,2432,11,1,1216
5226,J.C. Fabius,AR,625,25.70%,Schiedam,06/03/1888,algemeen,2671,2446,2446,2432,11,1,1216
5227,mr. J.G. Patijn,Lib,1328,54.63%,Schiedam,20/03/1888,herstemming,2671,2474,2474,2431,39,1,1216
5228,L.W. Jansen,Ka(AR),1103,45.37%,Schiedam,20/03/1888,herstemming,2671,2474,2474,2431,39,1,1216
5229,mr. A.P.R.C. baron van Borch van Verwolde,,1265,52.75%,Schiedam,20/11/1888,tussentijds,2671,2413,2413,2398,14,1,1199
5230,jhr.mr. W. Six,,1129,47.08%,Schiedam,20/11/1888,tussentijds,2671,2413,2413,2398,14,1,1199
5231,mr. J.G. Gleichman,Lib,1003,43.95%,Schiedam,09/06/1891,algemeen,2783,2320,2320,2282,33,1,1141
5232,mr. A.P.R.C. baron van Borch van Verwolde,AR,775,33.96%,Schiedam,09/06/1891,algemeen,2783,2320,2320,2282,33,1,1141
5233,mr. P.N. Engelberts,C(Ka),475,20.82%,Schiedam,09/06/1891,algemeen,2783,2320,2320,2282,33,1,1141
5234,mr. A.P.R.C. baron van Borch van Verwolde,AR,1314,53.41%,Schiedam,23/06/1891,herstemming,2783,2499,2499,2460,33,1,1230
5235,mr. J.G. Gleichman,Lib,1146,46.59%,Schiedam,23/06/1891,herstemming,2783,2499,2499,2460,33,1,1230
5236,mr. O.J.H. graaf van Limburg Stirum,NC(TT),919,44.90%,Schiedam,10/04/1894,algemeen,2608,2085,2085,2047,31,1,1024
5237,S.A. Maas,Lib(VT),781,38.15%,Schiedam,10/04/1894,algemeen,2608,2085,2085,2047,31,1,1024
5238,mr. A.P.R.C. baron van Borch van Verwolde,AR(VT),322,15.73%,Schiedam,10/04/1894,algemeen,2608,2085,2085,2047,31,1,1024
5239,mr. O.J.H. graaf van Limburg Stirum,NC(TT),1175,53.00%,Schiedam,24/04/1894,herstemming,2608,2250,2250,2217,29,1,1109
5240,S.A. Maas,Lib(VT),1042,47.00%,Schiedam,24/04/1894,herstemming,2608,2250,2250,2217,29,1,1109
5241,dr. R.P. Mees R.Az.,Lib,3535,67.63%,Rotterdam,06/03/1888,algemeen,8373,5937,5938,26133,3527,5,2613
5242,mr. H.C. Verniers van der Loeff,Lib,3504,67.04%,Rotterdam,06/03/1888,algemeen,8373,5937,5938,26133,3527,5,2613
5243,W.A. Viruly Verbrugge,Lib,3462,66.24%,Rotterdam,06/03/1888,algemeen,8373,5937,5938,26133,3527,5,2613
5244,W. Rooseboom,Lib,3382,64.71%,Rotterdam,06/03/1888,algemeen,8373,5937,5938,26133,3527,5,2613
5245,mr. H.D. Levyssohn Norman,Lib,3057,58.49%,Rotterdam,06/03/1888,algemeen,8373,5937,5938,26133,3527,5,2613
5246,J.M. Voorhoeve,AR(Ka),1671,31.97%,Rotterdam,06/03/1888,algemeen,8373,5937,5938,26133,3527,5,2613
5247,mr. J.C.M.F.H. Maschek,Ka(AR),1648,31.53%,Rotterdam,06/03/1888,algemeen,8373,5937,5938,26133,3527,5,2613
5248,J.P.T. van Nunen,Ka(AR),1637,31.32%,Rotterdam,06/03/1888,algemeen,8373,5937,5938,26133,3527,5,2613
5249,J.C. Fabius,AR,1110,21.24%,Rotterdam,06/03/1888,algemeen,8373,5937,5938,26133,3527,5,2613
5250,mr. B.M. Bahlmann,Ka,841,16.09%,Rotterdam,06/03/1888,algemeen,8373,5937,5938,26133,3527,5,2613
5251,J.J. Jacobson,Lib,752,14.39%,Rotterdam,06/03/1888,algemeen,8373,5937,5938,26133,3527,5,2613
5252,J.H. Donner,AR,742,14.20%,Rotterdam,06/03/1888,algemeen,8373,5937,5938,26133,3527,5,2613
5253,G.P. Ittmann,,139,2.66%,Rotterdam,06/03/1888,algemeen,8373,5937,5938,26133,3527,5,2613
5254,mr. O.J.H. graaf van Limburg Stirum,,128,2.45%,Rotterdam,06/03/1888,algemeen,8373,5937,5938,26133,3527,5,2613
5255,J.W. Gunning,,87,1.66%,Rotterdam,06/03/1888,algemeen,8373,5937,5938,26133,3527,5,2613
5256,G.H. Hintzen,Lib,3261,63.26%,Rotterdam,27/03/1888,tussentijds,8373,5181,5182,5155,23,1,2578
5257,L.W. Jansen,Ka,945,18.33%,Rotterdam,27/03/1888,tussentijds,8373,5181,5182,5155,23,1,2578
5258,J.M. Voorhoeve,AR,924,17.92%,Rotterdam,27/03/1888,tussentijds,8373,5181,5182,5155,23,1,2578
5259,jhr.mr. A.P.C. van Karnebeek,,1765,65.61%,Rotterdam,17/02/1891,tussentijds,8311,2717,2717,2690,12,1,1345
5260,J.M. Voorhoeve,,606,22.53%,Rotterdam,17/02/1891,tussentijds,8311,2717,2717,2690,12,1,1345
5261,mr. J.A. van Gilse,,293,10.89%,Rotterdam,17/02/1891,tussentijds,8311,2717,2717,2690,12,1,1345
5262,dr. R.P. Mees R.Az.,Lib,2746,60.08%,Rotterdam,09/06/1891,algemeen,8318,4625,4625,22851,219,5,2285
5263,W.A. Viruly Verbrugge,Lib,2712,59.34%,Rotterdam,09/06/1891,algemeen,8318,4625,4625,22851,219,5,2285
5264,mr. H.D. Levyssohn Norman,Lib,2701,59.10%,Rotterdam,09/06/1891,algemeen,8318,4625,4625,22851,219,5,2285
5265,G.H. Hintzen,Lib,2693,58.93%,Rotterdam,09/06/1891,algemeen,8318,4625,4625,22851,219,5,2285
5266,jhr.mr. A.P.C. van Karnebeek,Lib,2675,58.53%,Rotterdam,09/06/1891,algemeen,8318,4625,4625,22851,219,5,2285
5267,J.M. Voorhoeve,AR,1052,23.02%,Rotterdam,09/06/1891,algemeen,8318,4625,4625,22851,219,5,2285
5268,H. Seret,AR,1043,22.82%,Rotterdam,09/06/1891,algemeen,8318,4625,4625,22851,219,5,2285
5269,jhr. J.C. van de Poll,AR,1033,22.60%,Rotterdam,09/06/1891,algemeen,8318,4625,4625,22851,219,5,2285
5270,mr. L.W.C. Keuchenius,AR,1031,22.56%,Rotterdam,09/06/1891,algemeen,8318,4625,4625,22851,219,5,2285
5271,dr. T.C.L. Wijnmalen,AR,1028,22.49%,Rotterdam,09/06/1891,algemeen,8318,4625,4625,22851,219,5,2285
5272,mr. B.M. Bahlmann,Ka,743,16.26%,Rotterdam,09/06/1891,algemeen,8318,4625,4625,22851,219,5,2285
5273,dr. P.J.F. Vermeulen,Ka,741,16.21%,Rotterdam,09/06/1891,algemeen,8318,4625,4625,22851,219,5,2285
5274,B.R.F. van Vlijmen,Ka,738,16.15%,Rotterdam,09/06/1891,algemeen,8318,4625,4625,22851,219,5,2285
5275,J.P.T. van Nunen,Ka,736,16.10%,Rotterdam,09/06/1891,algemeen,8318,4625,4625,22851,219,5,2285
5276,mr. J.J.I. Harte van Tecklenburg,Ka,734,16.06%,Rotterdam,09/06/1891,algemeen,8318,4625,4625,22851,219,5,2285
5277,mr. J.A. van Gilse,,85,1.86%,Rotterdam,09/06/1891,algemeen,8318,4625,4625,22851,219,5,2285
5278,A. Plate,,1460,64.72%,Rotterdam,03/01/1893,tussentijds,8394,2277,2277,2256,9,1,1128
5279,J.M. Voorhoeve,,374,16.58%,Rotterdam,03/01/1893,tussentijds,8394,2277,2277,2256,9,1,1128
5280,mr. J. Maschek,,345,15.29%,Rotterdam,03/01/1893,tussentijds,8394,2277,2277,2256,9,1,1128
5281,dr. R.P. Mees R.Az.,Lib(TT),3472,69.81%,Rotterdam,10/04/1894,algemeen,8422,5007,5007,24869,146,5,2487
5282,mr. J.G. Gleichman,Lib(TT),3441,69.18%,Rotterdam,10/04/1894,algemeen,8422,5007,5007,24869,146,5,2487
5283,G.H. Hintzen,Lib(TT),3435,69.06%,Rotterdam,10/04/1894,algemeen,8422,5007,5007,24869,146,5,2487
5284,W.A. Viruly Verbrugge,Lib(TT),3435,69.06%,Rotterdam,10/04/1894,algemeen,8422,5007,5007,24869,146,5,2487
5285,A. Plate,Lib(TT),3428,68.92%,Rotterdam,10/04/1894,algemeen,8422,5007,5007,24869,146,5,2487
5286,P.R. Mees,Lib(VT),1074,21.59%,Rotterdam,10/04/1894,algemeen,8422,5007,5007,24869,146,5,2487
5287,J.M. Pijnacker Hordijk,Lib(VT),916,18.42%,Rotterdam,10/04/1894,algemeen,8422,5007,5007,24869,146,5,2487
5288,mr. J.A. van Gilse,Lib(VT),902,18.14%,Rotterdam,10/04/1894,algemeen,8422,5007,5007,24869,146,5,2487
5289,mr. H. Goeman Borgesius,Lib(VT),887,17.83%,Rotterdam,10/04/1894,algemeen,8422,5007,5007,24869,146,5,2487
5290,mr. E.E. van Raalte,Lib(VT),813,16.35%,Rotterdam,10/04/1894,algemeen,8422,5007,5007,24869,146,5,2487
5291,J.M. Voorhoeve,AR(VT),678,13.63%,Rotterdam,10/04/1894,algemeen,8422,5007,5007,24869,146,5,2487
5292,J. van Alphen,AR(VT),619,12.45%,Rotterdam,10/04/1894,algemeen,8422,5007,5007,24869,146,5,2487
5293,A. Brummelkamp jr.,AR(VT),543,10.92%,Rotterdam,10/04/1894,algemeen,8422,5007,5007,24869,146,5,2487
5294,mr. Ã. baron van Mackay 2,AR(VT),513,10.31%,Rotterdam,10/04/1894,algemeen,8422,5007,5007,24869,146,5,2487
5295,mr. Th. Heemskerk,AR(VT),503,10.11%,Rotterdam,10/04/1894,algemeen,8422,5007,5007,24869,146,5,2487
5296,mr. J. van Gennep,Lib(TT),2864,71.12%,Rotterdam,11/05/1894,tussentijds,8353,4042,4041,4027,7,1,2014
5297,P.R. Mees,Lib(VT),821,20.39%,Rotterdam,11/05/1894,tussentijds,8353,4042,4041,4027,7,1,2014
5298,J.M. Voorhoeve,AR(VT),322,8.00%,Rotterdam,11/05/1894,tussentijds,8353,4042,4041,4027,7,1,2014
5299,mr. E.E. van Raalte,,1456,96.17%,Rotterdam,27/04/1897,tussentijds,8323,1567,1567,1514,48,1,757
5300,mr. G.J. Goekoop,Lib,1629,53.83%,Brielle,06/03/1888,algemeen,3423,3050,3050,3026,19,1,1513
5301,mr. Th. Heemskerk,AR,1381,45.64%,Brielle,06/03/1888,algemeen,3423,3050,3050,3026,19,1,1513
5302,mr. G.J. Goekoop,Lib,1415,57.85%,Brielle,09/06/1891,algemeen,3206,2464,2466,2446,12,1,1223
5303,H. Seret,AR,1027,41.99%,Brielle,09/06/1891,algemeen,3206,2464,2466,2446,12,1,1223
5304,mr. G.J. Goekoop,Lib(TT),1040,46.60%,Brielle,10/04/1894,algemeen,3269,2245,2245,2232,11,1,1116
5305,H. Seret,AR(VT),877,39.29%,Brielle,10/04/1894,algemeen,3269,2245,2245,2232,11,1,1116
5306,mr. J.A. van Gilse,Lib(VT),165,7.39%,Brielle,10/04/1894,algemeen,3269,2245,2245,2232,11,1,1116
5307,W.J.G. van der Veur,Lib(VT),137,6.14%,Brielle,10/04/1894,algemeen,3269,2245,2245,2232,11,1,1116
5308,mr. G.J. Goekoop,Lib(TT),1362,52.69%,Brielle,24/04/1894,herstemming,3269,2600,2600,2585,11,1,1293
5309,H. Seret,AR(VT),1223,47.31%,Brielle,24/04/1894,herstemming,3269,2600,2600,2585,11,1,1293
5310,mr. R.J. graaf van Schimmelpenninck,C(AR/Ka),3223,52.32%,Den Haag,06/03/1888,algemeen,7591,6245,6245,18481,164,3,3080
5311,L.J.S. van Kempen,AR(Ka),3093,50.21%,Den Haag,06/03/1888,algemeen,7591,6245,6245,18481,164,3,3080
5312,mr. L.G. Greeve,Lib,3077,49.95%,Den Haag,06/03/1888,algemeen,7591,6245,6245,18481,164,3,3080
5313,mr. L.P.M.H. baron van Michiels van Verduynen,Ka(AR),2897,47.03%,Den Haag,06/03/1888,algemeen,7591,6245,6245,18481,164,3,3080
5314,mr. H.M.A. baron van Goes van Dirxland,Lib,2841,46.12%,Den Haag,06/03/1888,algemeen,7591,6245,6245,18481,164,3,3080
5315,P.C. Evers,Lib,2790,45.29%,Den Haag,06/03/1888,algemeen,7591,6245,6245,18481,164,3,3080
5316,W.L.A. Gericke,,278,4.51%,Den Haag,06/03/1888,algemeen,7591,6245,6245,18481,164,3,3080
5317,L.J.S. van Kempen,AR(Ka),3365,52.34%,Den Haag,20/03/1888,herstemming,7591,6517,6517,12859,137,2,3215
5318,mr. L.G. Greeve,Lib,3266,50.80%,Den Haag,20/03/1888,herstemming,7591,6517,6517,12859,137,2,3215
5319,mr. L.P.M.H. baron van Michiels van Verduynen,Ka(AR),3137,48.79%,Den Haag,20/03/1888,herstemming,7591,6517,6517,12859,137,2,3215
5320,mr. H.M.A. baron van Goes van Dirxland,Lib,3091,48.08%,Den Haag,20/03/1888,herstemming,7591,6517,6517,12859,137,2,3215
5321,H.D. Guyot,,2886,53.51%,Den Haag,29/10/1889,tussentijds,7872,5439,5439,5393,37,1,2697
5322,M.W. baron van Tour van Bellinchave,,2493,46.23%,Den Haag,29/10/1889,tussentijds,7872,5439,5439,5393,37,1,2697
5323,J.F.W. Conrad,Lib,3370,53.60%,Den Haag,09/06/1891,algemeen,8314,6369,6369,18861,231,3,3144
5324,J.M. Pijnacker Hordijk,Lib,3222,51.25%,Den Haag,09/06/1891,algemeen,8314,6369,6369,18861,231,3,3144
5325,H.D. Guyot,Lib,3220,51.22%,Den Haag,09/06/1891,algemeen,8314,6369,6369,18861,231,3,3144
5326,mr. R.J. graaf van Schimmelpenninck,C(AR/Ka),2958,47.05%,Den Haag,09/06/1891,algemeen,8314,6369,6369,18861,231,3,3144
5327,L.J.S. van Kempen,AR(Ka),2800,44.54%,Den Haag,09/06/1891,algemeen,8314,6369,6369,18861,231,3,3144
5328,C.A. Steger,Ka(AR),2421,38.51%,Den Haag,09/06/1891,algemeen,8314,6369,6369,18861,231,3,3144
5329,jhr.mr. W.F. Rochussen,C,574,9.13%,Den Haag,09/06/1891,algemeen,8314,6369,6369,18861,231,3,3144
5330,A. van Assen 2,AKS,98,1.56%,Den Haag,09/06/1891,algemeen,8314,6369,6369,18861,231,3,3144
5331,J.F.W. Conrad,Lib(TT),4154,68.96%,Den Haag,10/04/1894,algemeen,8319,6080,6080,18072,150,3,3012
5332,mr. J.G. Gleichman,Lib(TT),4127,68.51%,Den Haag,10/04/1894,algemeen,8319,6080,6080,18072,150,3,3012
5333,H.D. Guyot,Lib(TT),4108,68.19%,Den Haag,10/04/1894,algemeen,8319,6080,6080,18072,150,3,3012
5334,J.M. Pijnacker Hordijk,Lib(VT),1915,31.79%,Den Haag,10/04/1894,algemeen,8319,6080,6080,18072,150,3,3012
5335,dr. J. Menno Huizinga,Lib(VT),1859,30.86%,Den Haag,10/04/1894,algemeen,8319,6080,6080,18072,150,3,3012
5336,mr. H. Goeman Borgesius,Lib(VT),1526,25.33%,Den Haag,10/04/1894,algemeen,8319,6080,6080,18072,150,3,3012
5337,mr. G. van der Jagt,Lib(TT),362,6.01%,Den Haag,10/04/1894,algemeen,8319,6080,6080,18072,150,3,3012
5338,mr. J.G.S. Bevers,Ka(TT),2094,41.53%,Den Haag,11/05/1894,tussentijds,8494,5077,5077,5042,30,1,2521
5339,J.M. Pijnacker Hordijk,Lib(VT),1697,33.66%,Den Haag,11/05/1894,tussentijds,8494,5077,5077,5042,30,1,2521
5340,mr. A.J.W. van Roijen,Lib(TT),1242,24.63%,Den Haag,11/05/1894,tussentijds,8494,5077,5077,5042,30,1,2521
5341,J.M. Pijnacker Hordijk,Lib(VT),2922,50.03%,Den Haag,25/05/1894,herstemming,8494,5887,5887,5841,36,1,2921
5342,mr. J.G.S. Bevers,Ka(TT),2911,49.84%,Den Haag,25/05/1894,herstemming,8494,5887,5887,5841,36,1,2921
5343,mr. R. van der Borch van Verwolde,AR(Ka),1255,48.87%,Dordrecht,06/03/1888,algemeen,2864,2579,2579,2568,8,1,1284
5344,mr. J.B. van Osenbruggen,Lib,1241,48.33%,Dordrecht,06/03/1888,algemeen,2864,2579,2579,2568,8,1,1284
5345,mr. H.O. van der Linden van Snelrewaard,NK,62,2.41%,Dordrecht,06/03/1888,algemeen,2864,2579,2579,2568,8,1,1284
5346,mr. J.B. van Osenbruggen,Lib,1413,52.35%,Dordrecht,20/03/1888,herstemming,2864,2715,2715,2699,15,1,1350
